;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 29.5.2020. 11:44:08
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF00DEF6A  	GOTO        6868
_interrupt:
;KosturPRO.c,49 :: 		void interrupt() {
;KosturPRO.c,50 :: 		timerTicks++;
0x0008	0x4A7B      	INFSNZ      _timerTicks, 1 
0x000A	0x2A7C      	INCF        _timerTicks+1, 1 
;KosturPRO.c,51 :: 		timer_flag = 1;
0x000C	0x0E01      	MOVLW       1
0x000E	0x6E24      	MOVWF       _timer_flag 
0x0010	0x0E00      	MOVLW       0
0x0012	0x6E25      	MOVWF       _timer_flag+1 
;KosturPRO.c,52 :: 		TMR1H      =   99;               // 40000 counts until overflow 40000=65535-(99*256+192)
0x0014	0x0E63      	MOVLW       99
0x0016	0x6ECF      	MOVWF       TMR1H 
;KosturPRO.c,53 :: 		TMR1L      =   192;              // 40000/2000000=0.02sec on 8MHz, 2000000=8MHz/4
0x0018	0x0EC0      	MOVLW       192
0x001A	0x6ECE      	MOVWF       TMR1L 
;KosturPRO.c,54 :: 		T1CON      =   0x01;             // TMR1ON: Timer1 On bit 1 = Enables Timer1
0x001C	0x0E01      	MOVLW       1
0x001E	0x6ECD      	MOVWF       T1CON 
;KosturPRO.c,55 :: 		PIR1.TMR1IF=   0;                // Clear interrupt request bit
0x0020	0x909E      	BCF         PIR1, 0 
;KosturPRO.c,56 :: 		PIE1       =   1;                // TMR1IE: TMR1 Overflow Interrupt Enable bit, 1 = Enables
0x0022	0x0E01      	MOVLW       1
0x0024	0x6E9D      	MOVWF       PIE1 
;KosturPRO.c,57 :: 		INTCON     =   0xC0;             // Interrupts enable
0x0026	0x0EC0      	MOVLW       192
0x0028	0x6EF2      	MOVWF       INTCON 
;KosturPRO.c,58 :: 		}
L_end_interrupt:
L__interrupt6:
0x002A	0x0011      	RETFIE      1
; end of _interrupt
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x002C	0x0E21      	MOVLW       33
0x002E	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x0030	0x2E0D      	DECFSZ      R13, 1, 0
0x0032	0xD7FE      	BRA         L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x0034	0x0012      	RETURN      0
; end of _Delay_50us
_COMFREM:
;__Lib_Math.c,922 :: 		
;__Lib_Math.c,927 :: 		
0x0036	0x1E0B      	COMF        R11, 1, 0
;__Lib_Math.c,928 :: 		
0x0038	0x1E0A      	COMF        R10, 1, 0
;__Lib_Math.c,929 :: 		
0x003A	0x1E09      	COMF        R9, 1, 0
;__Lib_Math.c,930 :: 		
0x003C	0x1E08      	COMF        R8, 1, 0
;__Lib_Math.c,931 :: 		
0x003E	0x2A08      	INCF        R8, 1, 0
;__Lib_Math.c,932 :: 		
0x0040	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_Math.c,933 :: 		
0x0042	0x2A09      	INCF        R9, 1, 0
;__Lib_Math.c,934 :: 		
0x0044	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_Math.c,935 :: 		
0x0046	0x2A0A      	INCF        R10, 1, 0
;__Lib_Math.c,936 :: 		
0x0048	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_Math.c,937 :: 		
0x004A	0x2A0B      	INCF        R11, 1, 0
;__Lib_Math.c,939 :: 		
L_end_COMFREM:
0x004C	0x0012      	RETURN      0
; end of _COMFREM
_SDIV3232L:
;__Lib_Math.c,553 :: 		
;__Lib_Math.c,563 :: 		
0x004E	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,564 :: 		
0x0050	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,565 :: 		
0x0052	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,566 :: 		
0x0054	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,567 :: 		
0x0056	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,568 :: 		
0x0058	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,569 :: 		
0x005A	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,570 :: 		
0x005C	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,571 :: 		
0x005E	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,572 :: 		
0x0060	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,573 :: 		
0x0062	0x5007      	MOVF        R7, 0, 0
;__Lib_Math.c,574 :: 		
0x0064	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,575 :: 		
0x0066	0x3C07      	INCFSZ      R7, 0, 0
;__Lib_Math.c,576 :: 		
0x0068	0x5E0B      	SUBWF       R11, 1, 0
;__Lib_Math.c,577 :: 		
0x006A	0x3603      	RLCF        R3, 1, 0
;__Lib_Math.c,579 :: 		
0x006C	0x0E07      	MOVLW       7
;__Lib_Math.c,580 :: 		
0x006E	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,582 :: 		
LOOPS3232A:
;__Lib_Math.c,583 :: 		
0x0070	0x3403      	RLCF        R3, 0, 0
;__Lib_Math.c,584 :: 		
0x0072	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,585 :: 		
0x0074	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,586 :: 		
0x0076	0x360A      	RLCF        R10, 1, 0
;__Lib_Math.c,587 :: 		
0x0078	0x360B      	RLCF        R11, 1, 0
;__Lib_Math.c,588 :: 		
0x007A	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,589 :: 		
0x007C	0xA003      	BTFSS       R3, 0, 0
;__Lib_Math.c,590 :: 		
0x007E	0xD00E      	BRA         SADD22LA
;__Lib_Math.c,592 :: 		
0x0080	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,593 :: 		
0x0082	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,594 :: 		
0x0084	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,595 :: 		
0x0086	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,596 :: 		
0x0088	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,597 :: 		
0x008A	0x5006      	MOVF        R6, 0, 0
;__Lib_Math.c,598 :: 		
0x008C	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,599 :: 		
0x008E	0x3C06      	INCFSZ      R6, 0, 0
;__Lib_Math.c,600 :: 		
0x0090	0x5E0A      	SUBWF       R10, 1, 0
;__Lib_Math.c,601 :: 		
